lat,lon,STATEFP,COUNTYFP,county_fips,state,BUYER_DEA_NO,pharmacy,address,pills,link,BUYER_STATE,BUYER_COUNTY
34.153269,-86.8478953,1,43,1043,AL,BE4870968,ECONO-MED,1824 MAIN AVENUE S W   CULLMAN  AL 35055,1556790,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BE4870968.csv,AL,CULLMAN
34.1615444,-86.8344916,1,43,1043,AL,AH8971043,RITE AID,SOUTH CULLMAN CENTER 1606 2ND AVENUE  S W   CULLMAN  AL 35055,1193200,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AH8971043.csv,AL,CULLMAN
34.1586724,-86.8340629,1,43,1043,AL,FW1007093,WALGREENS,1700 2ND AVENUE SOUTHWEST  CULLMAN  AL 35055,1095500,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FW1007093.csv,AL,CULLMAN
34.1585192,-86.8486206,1,43,1043,AL,BH9446560,HERITAGE PHARMACY,1701 MAIN AVE SW SUITE C  CULLMAN  AL 35055,988910,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BH9446560.csv,AL,CULLMAN
34.1615444,-86.8344916,1,43,1043,AL,BH2094299,RITE AID,715 CULLMAN SHOPPING CENTER  CULLMAN  AL 35055,943310,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BH2094299.csv,AL,CULLMAN
34.154669,-86.835213,1,43,1043,AL,AK8900020,K MART PHARMACY #9571,1731 2ND AVE S W  CULLMAN  AL 35055,579090,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AK8900020.csv,AL,CULLMAN
34.170637,-86.840877,1,43,1043,AL,BM4569476,MEDICAL ARTS APOTHECARY,124 7TH ST SW  CULLMAN  AL 35055,585650,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BM4569476.csv,AL,CULLMAN
34.1495662,-86.841485,1,43,1043,AL,BW5383271,WAL-MART PHARMACY 10-0670,626 OLIVE STREET SW  CULLMAN  AL 35055,2325690,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW5383271.csv,AL,CULLMAN
31.0923253,-87.0620358,1,53,1053,AL,BF8025593,FRED'S PHARMACY #1536,802 FORREST AVE  EAST BREWTON  AL 36426,1980200,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BF8025593.csv,AL,ESCAMBIA
34.0237944,-86.0133133,1,55,1055,AL,FR1214345,ROBERTA WATTS MEDICAL CENTER PHARMACY,1020 TUSCALOOSA AVENUE  GADSDEN  AL 35901,49820,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FR1214345.csv,AL,ETOWAH
31.2127463,-85.3602114,1,69,1069,AL,BW5998351,WINN-DIXIE PHARMACY,1151 ROSS CLARK CIRCLE  DOTHAN  AL 36301,680420,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW5998351.csv,AL,HOUSTON
31.1951384,-85.3719938,1,69,1069,AL,FN2464624,NORTHEAST PHARMACEUTICALS,134 PREVATT ROAD  DOTHAN  AL 36301,7300,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FN2464624.csv,AL,HOUSTON
34.799493,-86.1216231,1,71,1071,AL,BB9445479,BIG C DRUGS - SKYLINE,21549 AL HWY 79  SCOTTSBORO  AL 35768,816440,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BB9445479.csv,AL,JACKSON
33.4948908,-86.806499,1,73,1073,AL,BU9720853,UAB HIGHLANDS APOTHECARY,1201 11TH AVENUE SOUTH  BIRMINGHAM  AL 35205,986240,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BU9720853.csv,AL,JEFFERSON
33.4967014,-86.8037916,1,73,1073,AL,BR5156826,ALABAMA CVS PHARMACY,1431 11TH AVENUE SO   BIRMINGHAM  AL 35205,651200,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BR5156826.csv,AL,JEFFERSON
33.4948908,-86.806499,1,73,1073,AL,BH2869634,HLTH SOUTH MED CTR APOTHECARY,1201 11 AVE SO  BIRMINGHAM  AL 35205,31750,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BH2869634.csv,AL,JEFFERSON
33.4323029,-86.9177633,1,73,1073,AL,AJ0467971,J & J DISCOUNT PHARMACY,6405 AVENUE K  BESSEMER  AL 35020,122560,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AJ0467971.csv,AL,JEFFERSON
33.42842,-86.72879,1,73,1073,AL,BL9687988,LOWERY ASSOCIATES INC,4911 CAHABA RIVER ROAD SUITE 105   109  BIRMINGHAM  AL 35243,80290,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BL9687988.csv,AL,JEFFERSON
33.4328907,-86.7381385,1,73,1073,AL,FG2608175,GENTRY PHARMACY,4700 CAHABA RIVER RD  STE B  BIRMINGHAM  AL 35243,50530,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FG2608175.csv,AL,JEFFERSON
33.4164388,-86.8418618,1,73,1073,AL,BR5155432,ALABAMA CVS PHARMACY,2201 TYLER RD   HOOVER  AL 35226,1128300,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BR5155432.csv,AL,JEFFERSON
32.5713009,-85.4976024,1,81,1081,AL,BW5382914,WAL-MART PHARMACY 10-0356,1717 SOUTH COLLEGE STREET  AUBURN  AL 36830,516480,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW5382914.csv,AL,LEE
32.5763561,-85.4964405,1,81,1081,AL,BW4336271,WINN-DIXIE PHARMACY #579,1617 S COLLEGE ST  AUBURN  AL 36832,282450,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW4336271.csv,AL,LEE
34.332916,-86.503201,1,95,1095,AL,AH5497830,JONES DISCOUNT PHARMACY,1036 N  BRINDLEE MTN  PARKWAY  ARAB  AL 35016,2027800,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AH5497830.csv,AL,MARSHALL
34.3252906,-86.5024577,1,95,1095,AL,AP9051955,PARKWAY PHARMACY,606 BRINDLEE MTN PKWY NORTH  ARAB  AL 35016,1149480,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AP9051955.csv,AL,MARSHALL
30.682517,-88.0676818,1,97,1097,AL,BW7173242,WALGREENS,1320 GOVERNMENT ST  MOBILE  AL 36604,1678500,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW7173242.csv,AL,MOBILE
30.6803851,-88.0752946,1,97,1097,AL,BW7710773,WINN DIXIE PHARMACY #1333,1550 GOVERNMENT STREET  MOBILE  AL 36604,730180,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW7710773.csv,AL,MOBILE
30.6652564,-88.0561415,1,97,1097,AL,AL3471997,LADAS PHARMACY INC,1050 S BROAD ST  MOBILE  AL 36603,1035000,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AL3471997.csv,AL,MOBILE
30.683965,-88.124926,1,97,1097,AL,BW5383613,WAL-MART PHARMACY 10-0991,101 SOUTH BELTLINE HIGHWAY  MOBILE  AL 36606,1309500,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW5383613.csv,AL,MOBILE
30.6885791,-88.1172639,1,97,1097,AL,BH2254821,RITE AID,3065 DAUPHIN STREET  MOBILE  AL 36606,1117120,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BH2254821.csv,AL,MOBILE
30.6789221,-88.1228849,1,97,1097,AL,BS7445706,SAM'S PHARMACY 10-8102,601 EAST I 65 SERVICE ROAD SOUTH  MOBILE  AL 36606,528970,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BS7445706.csv,AL,MOBILE
30.6824396,-88.1021725,1,97,1097,AL,BI4870956,"INFIRMARY HOME HLTH AGENCY, IN",2601 B EMOGENE STREET  MOBILE  AL 36606,18400,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BI4870956.csv,AL,MOBILE
30.6768907,-88.172776,1,97,1097,AL,FC2476047,C & R PHARMACY,4682 AIRPORT BLVD SUITE A  MOBILE  AL 36608,804900,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FC2476047.csv,AL,MOBILE
32.3085765,-86.3506694,1,101,1101,AL,BR5156965,ALABAMA CVS PHARMACY,4790 MOBILE HWY  MONTGOMERY  AL 36108,1321220,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BR5156965.csv,AL,MONTGOMERY
32.3104718,-86.3514646,1,101,1101,AL,BW3313854,"WINN DIXIE, DBA WINN-DIXIE PHARMACY",4724 MOBILE HWY  MONTGOMERY  AL 36108,452480,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW3313854.csv,AL,MONTGOMERY
34.4453362,-86.9383303,1,103,1103,AL,AS0474356,BUY-RITE DRUGS,401 CORSBIE ST  NW P O BOX 217  HARTSELLE  AL 35640,1731410,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AS0474356.csv,AL,MORGAN
34.4406926,-86.9404237,1,103,1103,AL,BR5155026,ALABAMA CVS PHARMACY,240 HWY 31 SOUTHWEST SUITE  11  HARTSELLE  AL 35640,1387060,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BR5155026.csv,AL,MORGAN
34.4405177,-86.9433674,1,103,1103,AL,BK5332298,KROGER PHARMACY,241 HIGHWAY 31 SW SUITE 60  HARTSELLE  AL 35640,1227520,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BK5332298.csv,AL,MORGAN
34.443037,-86.9432339,1,103,1103,AL,FW0689135,WALGREENS,201 HIGHWAY 31 NW  HARTSELLE  AL 35640,1226300,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FW0689135.csv,AL,MORGAN
34.4405177,-86.9433674,1,103,1103,AL,BH2094314,RITE AID,241 HIGHWAY 31 SW STE 20  HARTSELLE  AL 35640,830020,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BH2094314.csv,AL,MORGAN
34.4453291,-86.937176,1,103,1103,AL,AF3177462,DUNLAP DRUG CO,302 PINE ST   NW  HARTSELLE  AL 35640,167520,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AF3177462.csv,AL,MORGAN
34.3850261,-86.9129998,1,103,1103,AL,AS4551619,SUMMERFORD DRUGS INC,4087 HIGHWAY 31 S W   FALKVILLE  AL 35622,400380,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AS4551619.csv,AL,MORGAN
33.1264604,-88.1481234,1,107,1107,AL,BR5156953,ALABAMA CVS PHARMACY,113 3RD STREET  ALICEVILLE  AL 35442,525320,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BR5156953.csv,AL,PICKENS
33.1273765,-88.1459054,1,107,1107,AL,AP9395004,GENTRY DRUGS,551 MEMORIAL PARKWAY EAST  ALICEVILLE  AL 35442,443230,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AP9395004.csv,AL,PICKENS
32.472473,-85.0085409,1,113,1113,AL,AF5809720,J & L MEDICAL INC,1108 13TH STREET  PHENIX CITY  AL 36867,983290,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AF5809720.csv,AL,RUSSELL
32.4724864,-85.0085297,1,113,1113,AL,FU2988256,U SAVE IT PHARMACY #18,1108 13TH STREET  PHENIX CITY  AL 36867,241900,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FU2988256.csv,AL,RUSSELL
33.3518854,-86.6117336,1,117,1117,AL,FS0052299,SNIDER'S DISCOUNT PHARMACY,15582 HWY 280 SUITE 100  CHELSEA  AL 35043,2052500,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FS0052299.csv,AL,SHELBY
33.3496746,-86.6277249,1,117,1117,AL,FW0730401,WALGREENS,16468 HIGHWAY 280  CHELSEA  AL 35043,1169930,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FW0730401.csv,AL,SHELBY
33.3491188,-86.631378,1,117,1117,AL,BC6901640,CHELSEA APOTHECARY,16712 U S  HWY 280  CHELSEA  AL 35043,882830,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BC6901640.csv,AL,SHELBY
33.353232,-86.6087409,1,117,1117,AL,FP2471477,PUBLIX ALABAMA,501 CHELSEA CROSSROADS  CHELSEA  AL 35043,52600,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FP2471477.csv,AL,SHELBY
32.5835837,-88.1872615,1,119,1119,AL,AT8898667,THE DRUG STORE CO INC,108 LAFAYETTE STREET P O  BOX 1246  LIVINGSTON  AL 35470,629081,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AT8898667.csv,AL,SUMTER
32.4886182,-88.2994015,1,119,1119,AL,AY0478556,YORK DRUG STORE,583 FOURTH AVENUE  YORK  AL 36925,1037190,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AY0478556.csv,AL,SUMTER
32.4887406,-88.299825,1,119,1119,AL,BY6065723,"YORK DRUG, LT",400 COUNTRY CLUB RD PO BOX 577  YORK  AL 36925,298700,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BY6065723.csv,AL,SUMTER
33.237361,-87.5524871,1,125,1125,AL,BW3575226,WINN-DIXIE,10 MCFARLAND BLVD  NORTHPORT  AL 35476,819010,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW3575226.csv,AL,TUSCALOOSA
33.239634,-87.575238,1,125,1125,AL,BK2060060,K MART PHARMACY #3672,1700 MCFARLAND BLVD  NORTHPORT  AL 35476,619040,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BK2060060.csv,AL,TUSCALOOSA
33.2386812,-87.5616783,1,125,1125,AL,BF6571790,FOODMAX PHARMACY #76,BRUNO S INC  400 MCFARLAND BLVD   NORTHPORT  AL 35476,40100,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BF6571790.csv,AL,TUSCALOOSA
33.2609498,-87.3153964,1,125,1125,AL,FH0903422,MILLS PHARMACY AT BROOKWOOD,16114 HWY 216 SUITE A  BROOKWOOD  AL 35444,704480,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FH0903422.csv,AL,TUSCALOOSA
33.1651751,-87.5187189,1,125,1125,AL,BW5383396,WAL-MART PHARMACY 10-0715,1501 SKYLAND BLVD EAST  TUSCALOOSA  AL 35405,1220730,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW5383396.csv,AL,TUSCALOOSA
33.1660867,-87.52042,1,125,1125,AL,FS3113608,SAM'S PHARMACY 10-6435,1401 SKYLAND BLVD  TUSCALOOSA  AL 35405,23200,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FS3113608.csv,AL,TUSCALOOSA
33.2068735,-87.4993509,1,125,1125,AL,AL0478924,RITE AID,2916 UNIVERSITY BLVD   E   TUSCALOOSA  AL 35404,518470,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AL0478924.csv,AL,TUSCALOOSA
34.1593179,-87.4150534,1,133,1133,AL,AG9104340,GATEWAY DISCOUNT DRUGS,P O  BOX 486 HWY 195 GATEWAY SHOPPING CENTER  DOUBLE SPRINGS  AL 35553,1221850,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AG9104340.csv,AL,WINSTON
34.1499077,-87.4031875,1,133,1133,AL,BH3897608,HARRISON DRUG,25372 HIGHWAY 195 PO BOX 505  DOUBLE SPRINGS  AL 35553,725000,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BH3897608.csv,AL,WINSTON
34.1593179,-87.4150534,1,133,1133,AL,FG2260937,GATEWAY DISCOUNT APOTHECARY,26289 HWY  195  DOUBLE SPRINGS  AL 35553,627700,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FG2260937.csv,AL,WINSTON
32.4319502,-87.0231473,1,47,1047,AL,FW0063913,WALGREENS,1111 HIGHLAND AVE  SELMA  AL 36703,753200,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FW0063913.csv,AL,DALLAS
32.4337533,-87.0236608,1,47,1047,AL,FA0604505,ALLIANCE PHARMACY,133 5 BROAD ST  SELMA  AL 36701,4400,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FA0604505.csv,AL,DALLAS
31.2680202,-85.4412647,1,69,1069,AL,BW5383219,WAL-MART PHARMACY 10-0604,4310 MONTGOMERY HWY  DOTHAN  AL 36303,1228000,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW5383219.csv,AL,HOUSTON
31.2594,-85.4321573,1,69,1069,AL,BW4861705,WINN-DIXIE PHARMACY,1571 WESTGATE PARKWAY  DOTHAN  AL 36303,547900,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW4861705.csv,AL,HOUSTON
30.2293795,-88.008114,1,3,1003,AL,BW8821779,WAL-MART PHARMACY 10-2748,170 FORT MORGAN RD  GULF SHORES  AL 36542,1077160,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW8821779.csv,AL,BALDWIN
32.0887569,-88.2147274,1,23,1023,AL,AM2766446,MR DISCOUNT DRUGS OF BUTLER,604 EAST PUSHMATAHA STREET  BUTLER  AL 36904,1848320,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AM2766446.csv,AL,CHOCTAW
32.0902563,-88.2182558,1,23,1023,AL,AM4455297,WILLARD'S MEDICAL ARTS PHARM,313 E PUSHMATAHA ST  BUTLER  AL 36904,1677880,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AM4455297.csv,AL,CHOCTAW
32.0923601,-88.2220016,1,23,1023,AL,BF6981028,FRED'S PHARMACY #1081,307 NORTH MULBERRY AVE  BUTLER  AL 36904,140700,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BF6981028.csv,AL,CHOCTAW
31.7079201,-87.776325,1,25,1025,AL,AC0476514,CITY DRUG,123 JACKSON ST PO BOX 790  GROVE HILL  AL 36451,712140,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AC0476514.csv,AL,CLARKE
31.7091661,-87.7753202,1,25,1025,AL,BT5226976,THE MEDICINE CHEST,POST OFFICE BOX 69 126 MAIN STREET  GROVE HILL  AL 36451,378440,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BT5226976.csv,AL,CLARKE
34.2456495,-86.9604922,1,43,1043,AL,BW9881550,VILLAGE DISCOUNT DRUGS - WEST POINT,11784 HWY 157  VINEMONT  AL 35179,870500,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW9881550.csv,AL,CULLMAN
34.2456495,-86.9604922,1,43,1043,AL,BW9075498,WEST POINT FAMILY PHARMACY,11784 AL HWY 157  VINEMONT  AL 35179,27300,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BW9075498.csv,AL,CULLMAN
31.4592896,-85.64152,1,45,1045,AL,BR5156129,ALABAMA CVS PHARMACY,176 ANDREWS AVE   OZARK  AL 36360,2376790,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BR5156129.csv,AL,DALE
31.4586164,-85.6387502,1,45,1045,AL,FC0166125,CROSBY DRUGS,127 SOUTH EAST AVE SUITE 1  OZARK  AL 36360,859760,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FC0166125.csv,AL,DALE
31.4586164,-85.6387502,1,45,1045,AL,AA6785995,ANDREWS DRUG CO,HARRIS JAMES COLLEY 127 SOUTH EAST AVENUE  OZARK  AL 36360,41100,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AA6785995.csv,AL,DALE
32.4078802,-87.0202958,1,47,1047,AL,AP0474306,PILCHER-MCBRYDE DRUG CO,101 BROAD ST  SELMA  AL 36701,756730,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AP0474306.csv,AL,DALLAS
32.4219991,-87.0245086,1,47,1047,AL,AB0453097,BROWN DRUG COMPANY,1631 BROAD STREET  SELMA  AL 36701,766590,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AB0453097.csv,AL,DALLAS
32.4078447,-87.0242694,1,47,1047,AL,AS0473669,SWIFT DRUG COMPANY INC,217 BROAD ST PO BOX 735  SELMA  AL 36701,476400,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AS0473669.csv,AL,DALLAS
32.4155319,-87.0317398,1,47,1047,AL,BD7436125,D&K PHARMACY (SELMA LOCATION),415 JEFF DAVIS AVE   SELMA  AL 36701,93230,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BD7436125.csv,AL,DALLAS
32.4307531,-87.0248659,1,47,1047,AL,BH3014711,RITE AID,"1018 HIGHLAND AVENUE, SELMA, AL 36701",104500,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-BH3014711.csv,AL,DALLAS
32.4087,-87.0208,1,47,1047,AL,AC3164035,CARTER DRUG CO INCOR,133 BROAD STREET  PO BOX 949  SELMA  AL 36702,1608260,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-AC3164035.csv,AL,DALLAS
34.0169033,-85.99616,1,55,1055,AL,FG0422446,GREGERSON'S PHARMACY,278 NORTH THIRD STREET PO BOX 1460  GADSDEN  AL 35901,3480920,https://www.washingtonpost.com/wp-stat/dea-pain-pill-database/bulk/pharmacy/AL-FG0422446.csv,AL,ETOWAH
